index,date,ERROR_ID,STACK_ERROR_UNDER,CELL_ERROR_UNDER,MIN_CELL_VOLTAGE,5,6,7,8
548,1765225876555,0,1,3,3.24,0,0,0,0
549,1765225876555,0,1,3,3.23,0,0,0,0
550,1765225880984,0,1,3,3.25,0,0,0,0
551,1765225881151,0,1,3,3.25,0,0,0,0
552,1765225882801,0,1,3,3.25,0,0,0,0
553,1765225887215,0,1,3,3.25,0,0,0,0
554,1765225889015,0,1,3,3.25,0,0,0,0
555,1765225892281,0,1,3,3.26,0,0,0,0
556,1765225911830,0,1,3,3.26,0,0,0,0
557,1765225915148,0,1,3,3.26,0,0,0,0
558,1765225921747,0,1,3,3.27,0,0,0,0
559,1765225923313,0,1,3,3.27,0,0,0,0
560,1765225926981,0,1,3,3.27,0,0,0,0
561,1765225930547,0,1,3,3.27,0,0,0,0
562,1765225931099,0,1,3,3.27,0,0,0,0
563,1765225934296,0,1,3,3.27,0,0,0,0
564,1765225934913,0,1,3,3.27,0,0,0,0
565,1765225936733,0,1,3,3.27,0,0,0,0
566,1765225937364,0,1,3,3.27,0,0,0,0
567,1765225939933,0,1,3,3.27,0,0,0,0
568,1765225940551,0,1,3,3.27,0,0,0,0
569,1765225942249,0,1,3,3.27,0,0,0,0
570,1765225942518,0,1,3,3.27,0,0,0,0
571,1765225943135,0,1,3,3.27,0,0,0,0
572,1765225943751,0,1,3,3.27,0,0,0,0
573,1765225945133,0,1,3,3.27,0,0,0,0
574,1765225947867,0,1,3,3.27,0,0,0,0
575,1765225951567,0,1,3,3.27,0,0,0,0
576,1765225951747,0,1,3,3.27,0,0,0,0
577,1765225953365,0,1,3,3.27,0,0,0,0
578,1765225958479,0,1,3,3.27,0,0,0,0
579,1765225961947,0,2,1,3.27,0,0,0,0
580,1765225963748,0,1,3,3.28,0,0,0,0
581,1765225970328,0,2,1,3.28,0,0,0,0
582,1765225970497,0,2,1,3.28,0,0,0,0
583,1765225972046,0,2,1,3.28,0,0,0,0
584,1765225973798,0,2,1,3.28,0,0,0,0
585,1765225975580,0,2,1,3.28,0,0,0,0
586,1765225978999,0,2,1,3.28,0,0,0,0
587,1765225979179,0,2,1,3.28,0,0,0,0
588,1765225980795,0,2,1,3.28,0,0,0,0
589,1765225986429,0,2,1,3.28,0,0,0,0
590,1765225988062,0,2,1,3.28,0,0,0,0
591,1765225998195,0,2,1,3.28,0,0,0,0
592,1765225998330,0,2,1,3.28,0,0,0,0
