index,date,REGEN_BRAKE_STATE,1,2,3,4,5,6,7
863,1765218883023,0,0,0,0,0,0,0,0
864,1765218883472,0,0,0,0,0,0,0,0
865,1765218883758,0,0,0,0,0,0,0,0
866,1765218883890,0,0,0,0,0,0,0,0
867,1765218884240,0,0,0,0,0,0,0,0
868,1765218884657,0,0,0,0,0,0,0,0
869,1765218885007,0,0,0,0,0,0,0,0
870,1765218885140,0,0,0,0,0,0,0,0
871,1765218885439,0,0,0,0,0,0,0,0
872,1765218885873,0,0,0,0,0,0,0,0
873,1765218886207,0,0,0,0,0,0,0,0
874,1765218886340,0,0,0,0,0,0,0,0
875,1765218886623,0,0,0,0,0,0,0,0
876,1765218887089,0,0,0,0,0,0,0,0
877,1765218887374,0,0,0,0,0,0,0,0
878,1765218887507,0,0,0,0,0,0,0,0
879,1765218887856,0,0,0,0,0,0,0,0
880,1765218888400,0,0,0,0,0,0,0,0
881,1765218888624,0,0,0,0,0,0,0,0
882,1765218888723,0,0,0,0,0,0,0,0
883,1765218889057,0,0,0,0,0,0,0,0
884,1765218889455,0,0,0,0,0,0,0,0
885,1765218889824,0,0,0,0,0,0,0,0
886,1765218889957,0,0,0,0,0,0,0,0
887,1765218890257,0,0,0,0,0,0,0,0
888,1765218890707,0,0,0,0,0,0,0,0
889,1765218891006,0,0,0,0,0,0,0,0
890,1765218891141,0,0,0,0,0,0,0,0
891,1765218891490,0,0,0,0,0,0,0,0
892,1765218891924,0,0,0,0,0,0,0,0
893,1765218892224,0,0,0,0,0,0,0,0
894,1765218892373,0,0,0,0,0,0,0,0
895,1765218892689,0,0,0,0,0,0,0,0
896,1765218893090,0,0,0,0,0,0,0,0
897,1765218893423,0,0,0,0,0,0,0,0
898,1765218893540,0,0,0,0,0,0,0,0
899,1765218893823,0,0,0,0,0,0,0,0
900,1765218894156,0,0,0,0,0,0,0,0
901,1765218894240,0,0,0,0,0,0,0,0
902,1765218894539,0,0,0,0,0,0,0,0
903,1765218894973,0,0,0,0,0,0,0,0
904,1765218895290,0,0,0,0,0,0,0,0
905,1765218895674,0,0,0,0,0,0,0,0
906,1765218895990,0,0,0,0,0,0,0,0
907,1765218896107,0,0,0,0,0,0,0,0
908,1765218896372,0,0,0,0,0,0,0,0
909,1765218896823,0,0,0,0,0,0,0,0
910,1765218897107,0,0,0,0,0,0,0,0
911,1765218897541,0,0,0,0,0,0,0,0
912,1765218897824,0,0,0,0,0,0,0,0
913,1765218897956,0,0,0,0,0,0,0,0
914,1765218898256,0,0,0,0,0,0,0,0
915,1765218898690,0,0,0,0,0,0,0,0
916,1765218898974,0,0,0,0,0,0,0,0
917,1765218899424,0,0,0,0,0,0,0,0
918,1765218899708,0,0,0,0,0,0,0,0
919,1765218899823,0,0,0,0,0,0,0,0
920,1765218900158,0,0,0,0,0,0,0,0
921,1765218900556,0,0,0,0,0,0,0,0
922,1765218900841,0,0,0,0,0,0,0,0
923,1765218901257,0,0,0,0,0,0,0,0
924,1765218901556,0,0,0,0,0,0,0,0
925,1765218901974,0,0,0,0,0,0,0,0
926,1765218902255,0,0,0,0,0,0,0,0
927,1765218902373,0,0,0,0,0,0,0,0
928,1765218902691,0,0,0,0,0,0,0,0
929,1765218903089,0,0,0,0,0,0,0,0
930,1765218903557,0,0,0,0,0,0,0,0
931,1765218903841,0,0,0,0,0,0,0,0
932,1765218904155,0,0,0,0,0,0,0,0
933,1765218904223,0,0,0,0,0,0,0,0
934,1765218904541,0,0,0,0,0,0,0,0
935,1765218906005,0,0,0,0,0,0,0,0
936,1765218906123,0,0,0,0,0,0,0,0
937,1765218906407,0,0,0,0,0,0,0,0
938,1765218906855,0,0,0,0,0,0,0,0
939,1765218907141,0,0,0,0,0,0,0,0
940,1765218907506,0,0,0,0,0,0,0,0
941,1765218907822,0,0,0,0,0,0,0,0
942,1765218908205,0,0,0,0,0,0,0,0
943,1765218908557,0,0,0,0,0,0,0,0
944,1765218908656,0,0,0,0,0,0,0,0
945,1765218908939,0,0,0,0,0,0,0,0
946,1765218909657,0,0,0,0,0,0,0,0
947,1765218910090,0,0,0,0,0,0,0,0
948,1765218910507,0,0,0,0,0,0,0,0
949,1765218910790,0,0,0,0,0,0,0,0
950,1765218911223,0,0,0,0,0,0,0,0
951,1765218911506,0,0,0,0,0,0,0,0
952,1765218911957,0,0,0,0,0,0,0,0
953,1765218912240,0,0,0,0,0,0,0,0
954,1765218912690,0,0,0,0,0,0,0,0
955,1765218913090,0,0,0,0,0,0,0,0
956,1765218913422,0,0,0,0,0,0,0,0
957,1765218913841,0,0,0,0,0,0,0,0
958,1765218914107,0,0,0,0,0,0,0,0
959,1765218914239,0,0,0,0,0,0,0,0
960,1765218914556,0,0,0,0,0,0,0,0
961,1765218914975,0,0,0,0,0,0,0,0
962,1765218915305,0,0,0,0,0,0,0,0
963,1765218915439,0,0,0,0,0,0,0,0
964,1765218915724,0,0,0,0,0,0,0,0
965,1765218916041,0,0,0,0,0,0,0,0
966,1765218916140,0,0,0,0,0,0,0,0
967,1765218916441,0,0,0,0,0,0,0,0
968,1765218916873,0,0,0,0,0,0,0,0
969,1765218917172,0,0,0,0,0,0,0,0
970,1765218917590,0,0,0,0,0,0,0,0
971,1765218918039,0,0,0,0,0,0,0,0
972,1765218918306,0,0,0,0,0,0,0,0
973,1765218918790,0,0,0,0,0,0,0,0
974,1765218919074,0,0,0,0,0,0,0,0
975,1765218919207,0,0,0,0,0,0,0,0
976,1765218919524,0,0,0,0,0,0,0,0
977,1765218919957,0,0,0,0,0,0,0,0
978,1765218920273,0,0,0,0,0,0,0,0
979,1765218920391,0,0,0,0,0,0,0,0
980,1765218920723,0,0,0,0,0,0,0,0
981,1765218921141,0,0,0,0,0,0,0,0
982,1765218921455,0,0,0,0,0,0,0,0
983,1765218921606,0,0,0,0,0,0,0,0
984,1765218921889,0,0,0,0,0,0,0,0
985,1765218922389,2176,0,0,0,0,0,0,0
986,1765218922672,0,0,0,0,0,0,0,0
987,1765218922824,0,0,0,0,0,0,0,0
988,1765218923106,0,0,0,0,0,0,0,0
989,1765218923874,0,0,0,0,0,0,0,0
990,1765218924024,0,0,0,0,0,0,0,0
991,1765218924357,0,0,0,0,0,0,0,0
992,1765218924791,0,0,0,0,0,0,0,0
993,1765218925124,0,0,0,0,0,0,0,0
994,1765218925257,0,0,0,0,0,0,0,0
995,1765218925556,0,0,0,0,0,0,0,0
996,1765218926024,0,0,0,0,0,0,0,0
997,1765218926307,0,0,0,0,0,0,0,0
998,1765218926457,0,0,0,0,0,0,0,0
999,1765218926724,0,0,0,0,0,0,0,0
1000,1765218927206,0,0,0,0,0,0,0,0
1001,1765218927473,0,0,0,0,0,0,0,0
1002,1765218927924,0,0,0,0,0,0,0,0
1003,1765218928224,0,0,0,0,0,0,0,0
1004,1765218928341,0,0,0,0,0,0,0,0
1005,1765218928673,0,0,0,0,0,0,0,0
1006,1765218929055,0,0,0,0,0,0,0,0
1007,1765218929406,0,0,0,0,0,0,0,0
1008,1765218929788,0,0,0,0,0,0,0,0
1009,1765218930073,0,0,0,0,0,0,0,0
1010,1765218930190,0,0,0,0,0,0,0,0
1011,1765218930473,0,0,0,0,0,0,0,0
1012,1765218930890,0,0,0,0,0,0,0,0
1013,1765218931222,0,0,0,0,0,0,0,0
1014,1765218931624,0,0,0,0,0,0,0,0
1015,1765218931940,0,0,0,0,0,0,0,0
1016,1765218932057,0,0,0,0,0,0,0,0
1017,1765218932323,0,0,0,0,0,0,0,0
1018,1765218932640,0,0,0,0,0,0,0,0
1019,1765218932724,0,0,0,0,0,0,0,0
1020,1765218933075,0,0,0,0,0,0,0,0
1021,1765218933474,0,0,0,0,0,0,0,0
1022,1765218933773,0,0,0,0,0,0,0,0
1023,1765218934156,0,0,0,0,0,0,0,0
1024,1765218934489,0,0,0,0,0,0,0,0
1025,1765218934623,0,0,0,0,0,0,0,0
1026,1765218934888,0,0,0,0,0,0,0,0
1027,1765218936491,0,0,0,0,0,0,0,0
1028,1765218936773,0,0,0,0,0,0,0,0
1029,1765218937473,0,0,0,0,0,0,0,0
1030,1765218937939,0,0,0,0,0,0,0,0
1031,1765218938224,0,0,0,0,0,0,0,0
1032,1765218938340,0,0,0,0,0,0,0,0
1033,1765218938623,0,0,0,0,0,0,0,0
1034,1765218939057,0,0,0,0,0,0,0,0
1035,1765218939357,0,0,0,0,0,0,0,0
1036,1765218939821,0,0,0,0,0,0,0,0
1037,1765218940106,0,0,0,0,0,0,0,0
1038,1765218940221,0,0,0,0,0,0,0,0
1039,1765218940539,0,0,0,0,0,0,0,0
1040,1765218941640,0,0,0,0,0,0,0,0
1041,1765218941923,0,0,0,0,0,0,0,0
1042,1765218942638,0,0,0,0,0,0,0,0
1043,1765218942757,0,0,0,0,0,0,0,0
1044,1765218943090,0,0,0,0,0,0,0,0
1045,1765218943490,0,0,0,0,0,0,0,0
1046,1765218943805,0,0,0,0,0,0,0,0
1047,1765218944173,0,0,0,0,0,0,0,0
1048,1765218944525,0,0,0,0,0,0,0,0
1049,1765218944608,0,0,0,0,0,0,0,0
1050,1765218944927,0,0,0,0,0,0,0,0
1051,1765218945307,0,0,0,0,0,0,0,0
1052,1765218945767,0,0,0,0,0,0,0,0
1053,1765218946023,0,0,0,0,0,0,0,0
