index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R
639,1782590365536,0,0,398,0
640,1782590367084,0,0,398,0
641,1782590368101,0,0,398,0
642,1782590369199,0,0,399,0
643,1782590370082,0,0,399,0
644,1782590370798,0,0,399,0
645,1782590372446,0,0,399,0
646,1782590373046,0,0,399,0
647,1782590373529,0,0,399,0
648,1782590374484,0,0,399,0
649,1782590374711,0,0,399,0
650,1782590375694,0,0,399,0
651,1782590376144,0,0,399,0
652,1782590376610,0,0,399,0
653,1782590377659,0,0,399,0
654,1782590379607,0,0,399,0
655,1782590380608,0,0,399,0
656,1782590381156,0,0,399,0
657,1782590381839,0,0,399,0
658,1782590382854,0,0,399,0
659,1782590384419,0,0,400,0
660,1782590385486,0,0,400,0
661,1782590385802,0,0,400,0
662,1782590386085,0,0,400,0
663,1782590386302,0,0,400,0
664,1782590386918,0,0,402,0
665,1782590387368,0,0,402,0
666,1782590387966,0,0,402,0
667,1782590388300,0,0,402,0
668,1782590388932,0,0,403,0
669,1782590389549,0,0,403,0
670,1782590389982,0,0,403,0
671,1782590392646,0,0,404,0
672,1782590394162,0,0,404,0
673,1782590395177,0,0,404,0
674,1782590395760,0,0,404,0
675,1782590396526,0,0,404,0
676,1782590397059,0,0,404,0
677,1782590398642,0,0,404,0
678,1782590399657,0,0,404,0
679,1782590400656,0,0,404,0
680,1782590403853,0,0,404,0
681,1782590404853,0,0,404,0
682,1782590405285,0,0,404,0
683,1782590405419,0,0,404,0
684,1782590405718,0,0,404,0
685,1782590406701,0,0,404,0
686,1782590407508,0,0,404,0
687,1782590408566,0,0,404,0
688,1782590409549,0,0,404,0
689,1782590410082,0,0,404,0
690,1782590410231,0,0,404,0
691,1782590410581,0,0,404,0
692,1782590413162,0,0,404,0
693,1782590414195,0,0,404,0
694,1782590415743,0,0,404,0
695,1782590418358,0,0,0,0
696,1782590419091,0,0,0,0
697,1782590419823,0,0,0,0
698,1782590420890,0,0,0,0
699,1782590420890,0,0,0,0
700,1782590421255,0,0,0,0
701,1782590422371,0,0,0,0
702,1782590422754,0,0,0,0
703,1782590423071,0,0,0,0
704,1782590423387,0,0,0,0
705,1782590423753,0,0,0,0
706,1782590423953,0,0,0,0
707,1782590424186,0,0,0,0
708,1782590424519,0,0,0,0
709,1782590424902,0,0,0,0
710,1782590427767,0,0,0,0
711,1782590428449,0,0,0,0
712,1782590430115,0,0,11,0
713,1782590430464,0,0,11,0
714,1782590430815,0,0,11,0
715,1782590431181,0,0,83,0
716,1782590431880,0,0,83,0
717,1782590431963,0,0,83,0
718,1782590432347,0,0,83,0
719,1782590432579,0,0,83,0
720,1782590432881,0,0,83,0
721,1782590433232,0,0,140,0
722,1782590433812,0,0,140,0
723,1782590434078,0,0,140,0
724,1782590437558,0,0,225,0
725,1782590438264,0,0,225,0
726,1782590438264,0,0,225,0
727,1782590438474,0,0,225,0
728,1782590439425,0,0,256,0
729,1782590439724,0,0,256,0
730,1782590440073,0,0,256,0
731,1782590440373,0,0,256,0
732,1782590441005,0,0,256,0
733,1782590441089,0,0,281,0
734,1782590441389,0,0,281,0
735,1782590441672,0,0,281,0
736,1782590441988,0,0,281,0
737,1782590442304,0,0,281,0
738,1782590442937,0,0,281,0
739,1782590442954,0,0,281,0
740,1782590443271,0,0,302,0
741,1782590443387,0,0,302,0
742,1782590444603,0,0,302,0
743,1782590445003,0,0,319,0
744,1782590445352,0,0,319,0
745,1782590445651,0,0,319,0
746,1782590445918,0,0,319,0
747,1782590446734,0,0,319,0
748,1782590447083,0,0,332,0
749,1782590447384,0,0,332,0
750,1782590450264,0,0,343,0
751,1782590450564,0,0,343,0
752,1782590452296,0,0,351,0
753,1782590452629,0,0,351,0
754,1782590453012,0,0,358,0
755,1782590453178,0,0,358,0
756,1782590453912,0,0,358,0
757,1782590454828,0,0,0,0
758,1782590455660,0,0,0,0
759,1782590456560,0,0,0,0
760,1782590457359,0,0,0,0
