index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2
1752,1782567152571,0,0
1753,1782567152937,0,0
1754,1782567153353,0,0
1755,1782567154153,0,0
1756,1782567155218,0,0
1757,1782567155335,0,0
1758,1782567156551,0,0
1759,1782567157767,0,0
1760,1782567158250,0,0
1761,1782567159332,0,0
1762,1782567160914,0,4
1763,1782567161197,0,4
1764,1782567161963,0,4
1765,1782567162063,0,4
1766,1782567162912,0,4
1767,1782567163028,0,4
1768,1782567163694,0,4
1769,1782567163727,0,4
1770,1782567165547,0,4
1771,1782567166576,0,4
1772,1782567167861,0,4
1773,1782567168245,0,4
1774,1782567168293,0,4
1775,1782567168724,0,4
1776,1782567169458,0,4
1777,1782567169623,0,4
1778,1782567170240,0,4
1779,1782567170240,0,4
1780,1782567171575,0,4
