index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR,1,2,3,4,5
537,1762970073587,0,0,0,0,0,0,0,0
538,1762970073687,0,0,0,0,0,0,0,0
539,1762970073837,0,0,0,0,0,0,0,0
540,1762970073988,0,0,0,0,0,0,0,0
541,1762970074037,0,0,0,0,0,0,0,0
542,1762970074136,0,0,0,0,0,0,0,0
543,1762970074236,0,0,0,0,0,0,0,0
544,1762970074454,0,0,0,0,0,0,0,0
545,1762970074569,0,0,0,1,0,0,0,0
546,1762970074687,0,0,0,0,0,0,0,0
547,1762970074886,0,0,0,0,0,0,0,0
548,1762970075019,0,0,0,1,0,0,0,0
549,1762970075119,0,0,0,0,0,0,0,0
550,1762970075335,0,0,0,0,0,0,0,0
551,1762970075554,0,0,0,0,0,0,0,0
552,1762970075669,0,0,0,0,0,0,0,0
553,1762970075820,0,0,0,0,0,0,0,0
554,1762970075969,0,0,0,0,0,0,0,0
555,1762970076118,0,0,0,0,0,0,0,0
556,1762970076219,0,0,0,0,0,0,0,0
557,1762970076435,0,0,0,0,0,0,0,0
558,1762970076553,0,0,0,0,0,0,0,0
559,1762970076768,0,0,0,0,0,0,0,0
560,1762970076868,0,0,0,0,0,0,0,0
561,1762970077001,0,0,0,0,0,0,0,0
562,1762970077101,0,0,0,0,0,0,0,0
563,1762970077267,0,0,0,0,0,0,0,0
