index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
2016,1782591656371,0,0,2
2017,1782591656604,0,0,2
2018,1782591657887,0,0,2
2019,1782591657970,0,0,2
2020,1782591658436,0,0,2
2021,1782591658536,0,0,2
2022,1782591660069,0,0,2
2023,1782591660134,0,0,2
2024,1782591661317,0,0,2
2025,1782591661451,0,0,2
2026,1782591661783,0,0,2
2027,1782591662966,0,0,2
2028,1782591663165,0,0,2
2029,1782591665214,0,0,2
2030,1782591665330,0,0,2
2031,1782591665547,0,0,2
2032,1782591666796,0,0,2
2033,1782591667012,0,0,2
2034,1782591667845,0,0,2
2035,1782591668045,0,0,2
2036,1782591668294,0,0,2
2037,1782591669827,0,0,2
2038,1782591670027,0,0,2
2039,1782591670243,0,0,2
2040,1782591671409,0,0,2
2041,1782591671508,0,0,2
2042,1782591672641,0,0,2
2043,1782591672807,0,0,2
2044,1782591673107,0,0,2
2045,1782591674323,0,0,2
2046,1782591674423,0,0,2
2047,1782591676221,0,0,2
2048,1782591676238,0,0,2
2049,1782591676321,0,0,2
2050,1782591677571,0,0,2
2051,1782591677754,0,0,2
2052,1782591678220,0,0,2
2053,1782591680352,0,0,2
2054,1782591680453,0,0,2
2055,1782591680884,0,0,2
2056,1782591681068,0,0,2
2057,1782591681334,0,0,2
2058,1782591681700,0,0,2
2059,1782591683049,0,0,2
2060,1782591683382,0,0,2
2061,1782591683499,0,0,2
2062,1782591683931,0,0,2
2063,1782591684198,0,0,2
2064,1782591684381,0,0,2
2065,1782591685513,0,0,2
2066,1782591687295,0,0,2
2067,1782591687528,0,0,2
2068,1782591687845,0,0,2
2069,1782591688128,0,0,2
2070,1782591688778,0,0,2
2071,1782591689044,0,0,2
2072,1782591689343,0,0,2
2073,1782591689594,0,0,2
2074,1782591690376,0,0,2
2075,1782591691226,0,0,2
2076,1782591691542,0,0,2
2077,1782591691875,0,0,2
2078,1782591693007,0,0,2
2079,1782591693257,0,0,2
2080,1782591693590,0,0,2
