index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE,5,6,7,8
1278,1762970161682,0,0,0,0,0,0,0,0
1279,1762970161999,0,0,0,0,0,0,0,0
1280,1762970162219,0,0,0,0,0,0,0,0
1281,1762970162336,0,0,0,0,0,0,0,0
1282,1762970162465,0,0,0,0,0,0,0,0
1283,1762970162565,0,0,0,0,0,0,0,0
1284,1762970162665,0,0,0,0,0,0,0,0
1285,1762970162933,0,0,0,0,0,0,0,0
1286,1762970163080,0,0,0,0,0,0,0,0
1287,1762970163213,0,0,0,0,0,0,0,0
1288,1762970163329,0,0,0,0,0,0,0,0
1289,1762970163454,0,0,0,0,0,0,0,0
1290,1762970163596,0,0,0,0,0,0,0,0
1291,1762970163696,0,0,0,0,0,0,0,0
1292,1762970163779,0,0,0,0,0,0,0,0
1293,1762970163896,0,0,0,0,0,0,0,0
1294,1762970163979,0,0,0,0,0,0,0,0
1295,1762970164097,0,0,0,0,0,0,0,0
1296,1762970164196,0,0,0,0,0,0,0,0
1297,1762970164311,0,0,0,0,0,0,0,0
1298,1762970164429,0,0,0,0,0,0,0,0
1299,1762970164662,0,0,0,0,0,0,0,0
1300,1762970164762,0,0,0,0,0,0,0,0
1301,1762970164881,0,0,0,0,0,0,0,0
1302,1762970164980,0,0,0,0,0,0,0,0
1303,1762970165079,0,0,0,0,0,0,0,0
1304,1762970165195,0,0,0,0,0,0,0,0
1305,1762970165296,0,0,0,0,0,0,0,0
1306,1762970165411,0,0,0,0,0,0,0,0
1307,1762970165529,0,0,0,0,0,0,0,0
1308,1762970165627,0,0,0,0,0,0,0,0
1309,1762970165747,0,0,0,0,0,0,0,0
1310,1762970165853,0,0,0,0,0,0,0,0
1311,1762970165981,0,0,0,0,0,0,0,0
1312,1762970166176,0,0,0,0,0,0,0,0
1313,1762970166277,0,0,0,0,0,0,0,0
1314,1762970166395,0,0,0,0,0,0,0,0
1315,1762970166560,0,0,0,0,0,0,0,0
1316,1762970166695,0,0,0,0,0,0,0,0
1317,1762970166795,0,0,0,0,0,0,0,0
1318,1762970166861,0,0,0,0,0,0,0,0
1319,1762970166962,0,0,0,0,0,0,0,0
1320,1762970167060,0,0,0,0,0,0,0,0
1321,1762970167176,0,0,0,0,0,0,0,0
1322,1762970167278,0,0,0,0,0,0,0,0
1323,1762970167394,0,0,0,0,0,0,0,0
1324,1762970167593,0,0,0,0,0,0,0,0
1325,1762970167711,0,0,0,0,0,0,0,0
1326,1762970167894,0,0,0,0,0,0,0,0
1327,1762970168093,0,0,0,0,0,0,0,0
1328,1762970168177,0,0,0,0,0,0,0,0
1329,1762970168260,0,0,0,0,0,0,0,0
1330,1762970168376,0,0,0,0,0,0,0,0
1331,1762970168493,0,0,0,0,0,0,0,0
1332,1762970168610,0,0,0,0,0,0,0,0
1333,1762970168742,0,0,0,0,0,0,0,0
1334,1762970168894,0,0,0,0,0,0,0,0
1335,1762970169042,0,0,0,0,0,0,0,0
1336,1762970169177,0,0,0,0,0,0,0,0
1337,1762970169259,0,0,0,0,0,0,0,0
1338,1762970169375,0,0,0,0,0,0,0,0
1339,1762970169543,0,0,0,0,0,0,0,0
1340,1762970169626,0,0,0,0,0,0,0,0
1341,1762970169742,0,0,0,0,0,0,0,0
1342,1762970169977,0,0,0,0,0,0,0,0
1343,1762970170108,0,0,0,0,0,0,0,0
1344,1762970170175,0,0,0,0,0,0,0,0
1345,1762970170258,0,0,0,0,0,0,0,0
1346,1762970170358,0,0,0,0,0,0,0,0
1347,1762970170475,0,0,0,0,0,0,0,0
1348,1762970170691,0,0,0,0,0,0,0,0
1349,1762970170791,0,0,0,0,0,0,0,0
